Serial No.,Course Slot,Course Code,Course Description,Course Credit,L-T-P,Course Coordinator,Max.Limit,Stu.Registered
514,M,VEL700,HUMAN VALUES AND TECHNOLOGY,3,02-01-00,M.R. RAVI,60,124
,28,,,,,,1628,2781
515,M1,MSL780,MANAGERIAL ECONOMICS,1.5,1-0-0,SEEMA SHARMA,115,64
,1,,,,,,115,64
516,P,AMD310,MINI PROJECT (AM),3,0-0-6,BALAJI SRINIVASAN,4,3
517,P,AMD812,MAJOR PROJECT PART-II,12,0-0-24,S. PRADYUMNA,16,19
518,P,AMD814,MAJOR PROJECT PART-II,12,0-0-24,MURALI RAMAN CHOLEMARI,20,21
519,P,AMD895,MAJOR PROJECT,40,0-0-80,MALOY KUMAR SINGHA,1,0
520,P,AMD897,MINOR PROJECT,4,0-0-8,CDR (DR.) R. VIJAYAKUMAR,20,24
521,P,AMP776,Product Design and Feasibility Study,4,2-0-4,S.N. SINGH,30,26
522,P,ASD330,MINI PROJECT,6,0-0-12,VIMLESH PANT,25,10
523,P,ASD892,MAJOR PROJECT PART-II,12,0-0-24,VIMLESH PANT,15,6
524,P,ASP820,ADVANCED DATA ANALYSIS FOR WEATHER AND CLIMATE,3,1-0-4,H.C. UPADHYAYA,20,10
525,P,BBQ301,SEMINAR COURSE - I,1,0-0-2,P.K. ROYCHOUDHURY,60,14
526,P,BBQ302,SEMINAR COURSE - II,1,0-0-2,PRASHANT MISHRA,60,7
527,P,BBQ303,SEMINAR COURSE - III,1,0-0-2,V.S. BISARIA,60,84
528,P,BEC750,SEMINAR (BB),0,1-0-0,RAVI KRISHNAN ELANGOVAN,60,21
529,P,BED800,MAJOR PROJECT,40,0-0-80,RITU KULSHRESTHA,60,2
530,P,BED851,MAJOR PROJECT PART 1 (BB),6,0-0-12,SHILPI SHARMA,80,2
531,P,BED852,MAJOR PROJECT PART 2 (BB),14,0-0-28,SHILPI SHARMA,80,15
532,P,BED853,MAJOR PROJECT PART 1 (BB),4,0-0-8,SHILPI SHARMA,80,1
533,P,BED854,MAJOR PROJECT PART 2 (BB),16,0-0-32,SHILPI SHARMA,80,24
534,P,BES350,INDEPENDENT STUDY (BB),3,0-3-0,PRASHANT MISHRA,60,1
535,P,BET450,PRACTICAL TRAINING,0,0-0-0,PRASHANT MISHRA,60,2
536,P,BMV700,BIOMECHANICAL DES MEDICAL DEV.,1,1-0-0,DINESH KALYANASUNDARAM,99,1
537,P,BSD895,MAJOR PROJECT(MSR),40,0-0-80,SHANKAR PRAKRIYA,3,1
538,P,CED310,MINI PROJECT (CE),3,0-0-6,BABU J.ALAPPAT,150,1
539,P,CED411,MAJOR PROJECT PART 1 (CE),4,0-0-6,BABU J.ALAPPAT,150,4
540,P,CED412,MAJOR PROJECT PART 2 (CE),8,0-0-14,ASHOK GUPTA,150,12
541,P,CED812,MAJOR PROJECT PART-II,12,0-0-24,JAGDISH TELANGRAO SHAHU,60,5
542,P,CED821,MAJOR PROJECT PART - I,6,0-0-12,ABHIJIT GANGULI,60,0
543,P,CED822,MAJOR PROJECT PART-II,12,0-0-24,ABHIJIT GANGULI,60,17
544,P,CED842,MAJOR PROJECT PART-II,12,0-0-24,RAKESH KHOSA,13,9
545,P,CED852,MAJOR PROJECT PART-II,12,0-0-24,TANUSREE CHAKRABORTY,14,8
546,P,CED872,MAJOR PROJECT PART-II,12,0-0-24,J. UMA MAHESWARI,18,10
547,P,CED876,MAJOR PROJECT PART-II,12,0-0-24,KUMAR NEERAJ JHA,27,16
548,P,CED882,MAJOR PROJECT PART-II,12,0-0-24,GEETAM TEWARI,18,10
549,P,CED891,MAJOR PROJECT PART-I,6,0-0-12,ARUN KUMAR,2,0
550,P,CED892,MAJOR PROJECT PART-II,12,0-0-24,ARUN KUMAR,13,10
551,P,CED895,MAJOR PROJECT (CEY),40,0-0-80,MANOJ DATTA,6,0
552,P,CEP726,STRUCTURAL ENGG.LAB.,3,0-0-6,A.K. JAIN,60,21
553,P,CES820,INDEPENDENT STUDY,3,0-3-0,ABHIJIT GANGULI,30,0
554,P,CET410,PRACTICAL TRAINING,0,0-0-0,SUPRATIC GUPTA,5,1
555,P,CHD411,MAJOR PROJECT PART 1 (CH),4,0-0-8,JYOTI PHIRANI,5,4
556,P,CHD412,MAJOR PROJECT PART 2 (CH),8,0-0-12,JYOTI PHIRANI,20,11
557,P,CHD771,MINOR PROJECT,4,0-0-8,DIVESH BHATIA,46,54
558,P,CHD782,MAJOR PROJECT PART-II,12,0-0-24,SUDIP KUMAR PATTANAYEK,23,18
559,P,CHD871,Major Project Part 1 (CM),6,0-0-12,DIVESH BHATIA,1,0
560,P,CHD872,MAJOR PROJECT PART II (CM),14,0-0-28,JAYATI SARKAR,47,41
561,P,CHD873,Major Project Part 1 (CM),4,0-0-8,DIVESH BHATIA,3,0
562,P,CHD874,MAJOR PROJECT PART 2 (CM),16,0-0-32,DIVESH BHATIA,1,3
563,P,CHD895,MAJOR PROJECT,40,0-0-80,SUDIP KUMAR PATTANAYEK,3,0
564,P,CHT410,PRACTICAL TRAINING,0,0-0-0,ANURAG SINGH RATHORE,12,0
565,P,CLP704,Technical Communication for Chemical Engineers,1,0-0-2,ANUPAM SHUKLA,55,35
566,P,CMP521,LAB III,2,0-0-4,NALIN PANT,60,47
567,P,CMP522,LAB IV,2,0-0-4,TANMAY DUTTA,60,47
568,P,CMP728,INSTRUMENTATION LABORATORY,3,0-0-6,A.RAMANAN,25,14
569,P,COD351,MINOR DESIGN PROJECT - I,1,0-0-2,KOLIN PAUL,40,22
570,P,COD352,MINOR DESIGN PROJECT - II,1,0-0-2,KOLIN PAUL,40,0
571,P,COD353,MINOR DESIGN PROJECT - III,1,0-0-2,KOLIN PAUL,40,0
572,P,COD745,MINOR PROJECT,3,0-0-6,SMRUTI RANJAN SARANGI,40,14
573,P,COD891,MINOR PROJECT,3,0-0-6,SMRUTI RANJAN SARANGI,40,15
574,P,COP290,DESIGN PRACTICES,3,0-0-6,VINAY JOSEPH RIBEIRO,125,199
575,P,COP315,EMBEDDED SYSTEM DESIGN PROJECT,4,0-1-6,M. BALAKRISHNAN,100,37
576,P,COQ301,SEMINAR COURSE - I,1,0-0-2,VINAY JOSEPH RIBEIRO,60,92
577,P,COQ302,SEMINAR COURSE - II,1,0-0-2,ANSHUL KUMAR,60,34
578,P,COT200,SUMMER INTERNSHIP - I,2,0-0-4,VINAY JOSEPH RIBEIRO,50,62
579,P,COT300,SUMMER INTERNSHIP - II,2,0-0-4,VINAY JOSEPH RIBEIRO,120,26
580,P,CRD812,MAJOR PROJECT PART 2,12,0-0-24,ANANJAN BASU,50,26
581,P,CSD310,MINI PROJECT (CS),3,0-0-6,KOLIN PAUL,30,2
582,P,CSD411,MAJOR PROJECT PART 1 (CS),4,0-0-8,KOLIN PAUL,40,7
583,P,CSD412,MAJOR PROJECT PART 2 (CS),8,0-0-16,KOLIN PAUL,40,14
584,P,CSD851,MAJOR PROJECT PART 1 (CO),6,0-0-12,SMRUTI RANJAN SARANGI,30,1
585,P,CSD852,MAJOR PROJECT PART 2 (CO),14,0-0-28,SMRUTI RANJAN SARANGI,30,6
586,P,CSD853,MAJOR PROJECT PART 1 (CO),4,0-0-8,SMRUTI RANJAN SARANGI,30,1
587,P,CSD854,MAJOR PROJECT PART 2 (CO),16,0-0-32,SMRUTI RANJAN SARANGI,30,13
588,P,CSD893,MAJOR PROJECT PART - I,6,0-0-12,SMRUTI RANJAN SARANGI,30,0
589,P,CSD894,MAJOR PROJECT PART-II,12,0-0-24,SMRUTI RANJAN SARANGI,45,25
590,P,CSD895,MAJOR PROJECT,40,0-0-80,SMRUTI RANJAN SARANGI,40,3
591,P,CSS310,INDEPENDENT STUDY (CS),3,0-3-0,KOLIN PAUL,40,3
592,P,CSS799,INDEPENDENT STUDY,3,0-3-0,SMRUTI RANJAN SARANGI,40,4
593,P,CST410,PRACTICAL TRAINING,0,0-0-0,VINAY JOSEPH RIBEIRO,40,1
594,P,CVD351,MINOR DESIGN PROJECT - I,1,0-0-2,SHASHANK BISHNOI,150,32
595,P,CVD352,MINOR DESIGN PROJECT - II,1,0-0-2,SHASHANK BISHNOI,150,0
596,P,CVD353,MINOR DESIGN PROJECT - III,1,0-0-2,SHASHANK BISHNOI,150,0
597,P,CVD354,MINOR DESIGN PROJECT - IV,1,0-0-2,SHASHANK BISHNOI,150,0
598,P,CVD355,MINOR DESIGN PROJECT - V,1,0-0-2,SHASHANK BISHNOI,150,0
599,P,CVD356,MINOR DESIGN PROJECT - VI,2,0-0-4,SHASHANK BISHNOI,150,49
600,P,CVD357,MINOR DESIGN PROJECT - VII,2,0-0-4,SHASHANK BISHNOI,150,4
601,P,CVD700,MINOR PROJECT,3,0-0-6,JAGDISH TELANGRAO SHAHU,60,0
602,P,CVD710,MINOR PROJECT,3,0-0-6,TANUSREE CHAKRABORTY,60,0
603,P,CVD720,MAJOR THESIS PART-I,6,0-0-12,ARUN KUMAR,20,0
604,P,CVD721,MAJOR THESIS PART-II,12,0-0-24,ARUN KUMAR,20,0
605,P,CVD756,MINOR PROJECT IN STRUCTURAL ENGINEERING,3,0-0-6,ABHIJIT GANGULI,100,8
606,P,CVD832,MAJOR PROJECT PART-II,12,0-0-24,RAKESH KHOSA,30,0
607,P,CVP222,SOIL MECHANICS LABORATORY,1,0-0-2,TANUSREE CHAKRABORTY,103,106
608,P,CVP242,STRUCTURAL ANALYSIS LABORATORY,1,0-0-2,ABHIJIT GANGULI,103,105
609,P,CVP261,TRANSPORTATION ENGG. LABORATOR,1,0-0-2,ARAVIND KRISHNA SWAMY,120,103
610,P,CVP281,HYDRAULICS LABORATORY,1,0-0-2,DEO RAJ KAUSHAL,112,106
611,P,CVP342,STRUCTURES & MATERIAL LAB,1,0-0-2,DIPTI RANJAN SAHOO,150,97
612,P,CVP730,SIMULATION LABORATORY-I,1.5,0-0-3,N.K. GARG,30,6
613,P,CVP731,SIMULATION LABORATORY-II,1.5,0-0-3,DHANYA C.T.,30,6
614,P,CVP756,STRUCTURAL ENGINEERING LAB,3,0-0-6,A.K. JAIN,60,10
615,P,CVP771,CONSTRUCTION TECHNOLOGY LABORA,1.5,0-0-3,SHASHANK BISHNOI,150,15
616,P,CVP800,GEOENVIRONMENTAL AND GEOTECHNICAL ENGINEERING LAB,3,0-0-6,JAGDISH TELANGRAO SHAHU,60,16
617,P,CYD670,PROJECT PART II,8,0-0-16,S.NAGENDRAN,60,48
618,P,CYD799,MINOR PROJECT,3,0-0-6,N.G.RAMESH,25,1
619,P,CYD801,MAJOR PROJECT PART-I,6,0-0-12,N.G.RAMESH,25,0
620,P,CYD802,MAJOR PROJECT PART-II,12,0-0-24,N.G.RAMESH,25,12
621,P,CYS801,INDEPENDENT STUDY,4,0-0-8,N.G.RAMESH,25,0
622,P,DID892,MAJOR PROJECT,19,0-1-36,JYOTI KUMAR,25,21
623,P,DIS802,INVITED FACULTY SEMINARS,1,0-0-2,S.K. ATREYA,25,21
624,P,DSD792,DESIGN PROJECT 1,3,0-0-6,S.K. ATREYA,25,19
625,P,DSP704,INSTRUMENT TECHNOLOGY LABORATORY-II,3,0-0-6,D.T. SHAHANI,20,15
626,P,DSP711,COMP. AIDED PRODUCT DETAILING,3,1-0-4,S.K. ATREYA,25,19
627,P,DSP712,EXHIBITIONS & ENVIRONM. DESIGN,3,2-0-2,S.K. ATREYA,25,7
628,P,DSP722,APPLIED ERGONOMICS,2,1-0-2,JYOTI KUMAR,25,20
629,P,DSR761,SOCIAL IMMERSION,1,0-0-2,SUMER SINGH,25,0
630,P,DSR762,VEHICLE DESIGN,3,2-0-2,SUMER SINGH,25,6
631,P,DSR801,SUMMER INTERNSHIP,0,0-0-4,JYOTI KUMAR,25,19
632,P,DTD899,DOCTORAL THESIS,0,0-0-0,======,1605,1188
633,P,EED310,MINI PROJECT (EE),3,0-0-6,ANUJ DHAWAN,44,10
634,P,EED320,MINI PROJECT (EP),3,0-0-6,ANUJ DHAWAN,12,11
635,P,EED411,MAJOR PROJECT PART 1 (EE),4,0-0-6,SUMANTRA DUTTA ROY,120,0
636,P,EED412,MAJOR PROJECT PART 2 (EE),8,0-0-14,SUMANTRA DUTTA ROY,120,8
637,P,EED421,MAJOR PROJECT PART 1 (EP),4,0-0-6,SUMANTRA DUTTA ROY,50,0
638,P,EED422,MAJOR PROJECT PART 2 (EP),8,0-0-14,SUMANTRA DUTTA ROY,50,4
639,P,EED701,MINOR PROJECT,2,0-0-4,SUMANTRA DUTTA ROY,50,1
640,P,EED802,MAJOR PROJECT PART-II,12,0-0-24,SUMANTRA DUTTA ROY,50,18
641,P,EED843,MAJOR PROJECT PART -II,12,0-0-24,MUMMADI VEERACHARY,50,9
642,P,EED851,MAJOR PROJECT PART 1 (EI),6,0-0-12,UDAY KIRAN KHANKHOJE,0,0
643,P,EED852,MAJOR PROJECT PART 2 (EI),14,0-0-28,UDAY KIRAN KHANKHOJE,30,11
644,P,EED854,MAJOR PROJECT PART 2 (EI),16,0-0-32,UDAY KIRAN KHANKHOJE,30,9
645,P,EED862,MAJOR PROJECT PART-II,12,0-0-24,UDAY KIRAN KHANKHOJE,50,12
646,P,EED876,MAJOR PROJECT PART-II,12,0-0-24,MASHUQ-UN-NABI,50,11
647,P,EED889,MAJOR PROJECT PART-II,12,0-0-24,ANUJ DHAWAN,50,7
648,P,EED895,MAJOR PROJECT,40,0-0-80,NILANJAN SENROY,50,6
649,P,EED898,MAJOR PROJECT PART-II,12,0-0-24,SUKUMAR MISHRA,50,7
650,P,EET410,PRACTICAL TRAINING,0,0-0-0,INDRA NARAYAN KAR,50,0
651,P,EET420,PRACTICAL TRAINING,0,0-0-0,INDRA NARAYAN KAR,50,1
652,P,EET841,INDUSTRIAL TRAINING AND SEMINAR,3,3-0-0,MUMMADI VEERACHARY,60,1
653,P,ELD351,MINOR DESIGN PROJECT - I,1,0-0-2,SUKUMAR MISHRA,60,14
654,P,ELD352,MINOR DESIGN PROJECT - II,1,0-0-2,SUKUMAR MISHRA,60,0
655,P,ELD353,MINOR DESIGN PROJECT - III,1,0-0-2,SUKUMAR MISHRA,60,0
656,P,ELD354,MINOR DESIGN PROJECT - IV,1,0-0-2,SUKUMAR MISHRA,60,0
657,P,ELD355,MINOR DESIGN PROJECT - V,1,0-0-2,SUKUMAR MISHRA,60,0
658,P,ELD356,MINOR DESIGN PROJECT - VI,2,0-0-4,SUKUMAR MISHRA,60,9
659,P,ELD357,MINOR DESIGN PROJECT - VII,2,0-0-4,SUKUMAR MISHRA,60,3
660,P,ELD780,MINOR PROJECT,2,0-0-4,SUMANTRA DUTTA ROY,60,26
661,P,ELD810,MINOR PROJECT (COMMUNICATION E,3,0-0-6,UDAY KIRAN KHANKHOJE,60,7
662,P,ELP201,DIGITAL ELECTRONICS LABORATORY,1.5,0-0-3,ANUJ DHAWAN,400,0
663,P,ELP203,ELECTROMECHANICS LABORATORY,1.5,0-0-3,AMIT KUMAR JAIN,150,131
664,P,ELP302,POWER ELECTRONICS LABORATORY,1.5,0-0-3,MUMMADI VEERACHARY,120,108
665,P,ELP305,DESIGN AND SYSTEM LABORATORY,1.5,0-0-3,S.M.K. RAHMAN,150,177
666,P,ELP311,COMMUNICATION ENGINEERING LAB.,1,0-0-2,SAIF KHAN MOHAMMED,150,87
667,P,ELP725,WIRELESS COMMUNICATION LABORAT,3,0-1-4,RANJAN BOSE,60,27
668,P,ELP736,PHYSICAL DESIGN LABORATORY,3,0-0-6,JAYADEVA,60,11
669,P,ELP782,NETWORKS LABORATORY,3,0-1-4,SWADES KUMAR DE,120,3
670,P,ELP801,ADVANCED CONTROL LABORATORY,2,0-0-4,SHUBHENDU BHASIN,60,11
671,P,ELP832,IEC LABORATORY-II,3,0-0-6,SHOURIBRATA CHATTERJEE,60,17
672,P,ELP852,ELECTRICAL DRIVES LABORATORY,1.5,0-0-3,BHIM SINGH,60,14
673,P,ELP853,DSP BASED CONTROL OF POWER ELE,1.5,0-0-3,MUMMADI VEERACHARY,60,14
674,P,ELP871,POWER SYSTEM LAB 2,3,0-1-4,SUKUMAR MISHRA,60,8
675,P,ELQ301,SEMINAR COURSE - I,1,0-0-2,S. JANARDHANAN,90,80
676,P,ELQ302,SEMINAR COURSE - II,1,0-0-2,S. JANARDHANAN,60,19
677,P,EPD310,MINI PROJECT (PH),3,0-0-6,HITENDRA KUMAR MALIK,20,3
678,P,EPD411,MAJOR PROJECT PART 1 (PH),4,0-0-6,AMARTYA SENGUPTA,60,1
679,P,EPD412,MAJOR PROJECT PART 2 (PH),7,0-0-14,AMARTYA SENGUPTA,65,27
680,P,EPP215,PHYSICS LABORATORY - II,3,0-0-6,R.K. SONI,65,2
681,P,EPP216,PHYSICS LABORATORY - III,3,0-0-6,R.K. SONI,61,1
682,P,EPS310,INDEPENDENT STUDY (PH),3,0-3-0,V.RAVISHANKAR,10,1
683,P,EPT410,PRACTICAL TRAINING,0,0-0-0,JITENDRA PRATAP SINGH,68,1
684,P,ESP713,ENERGY LABORATORY,3,0-0-6,DIBAKAR RAKSHIT,30,28
685,P,ESQ301,SEMINAR COURSE - I,1,0-0-2,T.C. KANDPAL,120,29
686,P,ESQ302,SEMINAR COURSE - II,1,0-0-2,S.C. KAUSHIK,120,13
687,P,HUP102,PSYCHOLOGY LABORATORY,1,0-0-2,VARSHA SINGH,50,67
688,P,JCD801,MAJOR PROJECT PART-I,6,0-0-12,NILADRI CHATTERJEE,5,2
689,P,JCD802,MAJOR PROJECT PART-II,12,0-0-24,NILADRI CHATTERJEE,15,12
690,P,JED801,MAJOR PROJECT PART-I,6,0-0-12,K.A. SUBRAMANIAN,50,0
691,P,JED802,MAJOR PROJECT PART-II,12,0-0-24,K.A. SUBRAMANIAN,50,0
692,P,JID802,MAJOR PROJECT PART-II,12,0-0-24,DEEPAK KUMAR,20,7
693,P,JMD792,MINOR PROJECT,3,0-0-6,MANAV BHATNAGAR,16,17
694,P,JMD802,MAJOR PROJECT PART-II,12,0-0-24,MANAV BHATNAGAR,50,12
695,P,JND801,MAJOR PROJECT PART-1,6,0-0-12,K.A. SUBRAMANIAN,30,0
696,P,JND802,MAJOR PROJECT II (JEN),12,0-0-24,K.A. SUBRAMANIAN,40,15
697,P,JOD802,MAJOR PROJECT PART-II,12,0-0-24,R.K. VARSHNEY,14,17
698,P,JOP792,FIBER OPTICS AND OPTICAL COMMUNICATION LAB.II,3,0-0-6,M.R. SHENOY,24,18
699,P,JPD802,MAJOR PROJECT PART-II,12,0-0-24,JOSEMON JACOB,30,22
700,P,JSD801,MAJOR PROJECT PART-I,6,0-0-12,K.A. SUBRAMANIAN,30,0
701,P,JSD802,MAJOR PROJECT PART-II,12,0-0-24,K.A. SUBRAMANIAN,40,7
702,P,JTD802,MAJOR PROJECT PART-II,12,0-0-24,A.L. VYAS,18,5
703,P,JVD801,MAJOR PROJECT PART-I,6,0-0-12,ANSHUL KUMAR,50,0
704,P,JVD802,MAJOR PROJECT PART-II,12,0-0-24,ANSHUL KUMAR,50,12
705,P,JVS802,INDEPENDENT STUDY,3,0-3-0,ANSHUL KUMAR,1,0
706,P,MAD703,PROJECT PART I*,4,0-0-8,N.SHRAVAN KUMAR,10,0
707,P,MAD704,PROJECT PART - II,4,0-0-8,N.SHRAVAN KUMAR,50,45
708,P,MAD851,MAJOR PROJECT PART 1 (MT),6,0-0-12,V.V.K. SRINIVAS KUMAR,20,2
709,P,MAD852,MAJOR PROJECT PART 2 (MT),14,0-0-28,V.V.K. SRINIVAS KUMAR,45,11
710,P,MAD853,MAJOR PROJECT PART 1 (MT),4,0-0-8,V.V.K. SRINIVAS KUMAR,20,1
711,P,MAD854,MAJOR PROJECT PART 2 (MT),16,0-0-32,V.V.K. SRINIVAS KUMAR,45,15
712,P,MAP702,COMPUTING LAB - II,2,0-0-4,V.V.K. SRINIVAS KUMAR,60,45
713,P,MAP706,SCIENTIFIC SOFTWARE LABORATORY,3,0-0-6,V.V.K. SRINIVAS KUMAR,30,25
714,P,MAP707,PROGRAMMING LANGUAGES LABORATORY,2,0-0-4,V.V.K. SRINIVAS KUMAR,30,2
715,P,MCD310,Mini Project,3,0-0-6,HARISH HIRANI,100,12
716,P,MCP301,MECHANICAL ENGINEERING LAB - I,1.5,0-0-3,S.R. KALE,100,101
717,P,MCP331,MANUFACTURING LABORATORY-II,1,0-0-2,P.VENKATESWARA RAO,0,95
718,P,MED411,MAJOR PROJECT PART 1 (ME),4,0-0-6,DIGAVALLI RAVI KUMAR,1,4
719,P,MED412,MAJOR PROJECT PART 2 (ME),8,0-0-14,DIGAVALLI RAVI KUMAR,52,12
720,P,MED421,MAJOR PROJECT PART 1 (PE),4,0-0-6,DIGAVALLI RAVI KUMAR,7,1
721,P,MED422,MAJOR PROJECT PART 2 (PE),8,0-0-14,DIGAVALLI RAVI KUMAR,12,1
722,P,MED811,MAJOR PROJECT PART-I,6,0-0-12,B. PREMACHANDRAN,1,0
723,P,MED812,MAJOR PROJECT PART-II,12,0-0-24,B. PREMACHANDRAN,8,5
724,P,MED831,MAJOR PROJECT PART-I,6,0-0-12,ASHISH KAMALAKAR DARPE,1,0
725,P,MED832,MAJOR PROJECT PART-II,12,0-0-24,ASHISH KAMALAKAR DARPE,12,11
726,P,MED862,MAJOR PROJECT PART-II,12,0-0-24,NOMESH BHOJKUMAR BOLIA,13,1
727,P,MED882,MAJOR PROJECT PART-II,12,0-0-24,SIVANANDAM ARAVINDAN,24,7
728,P,MED895,MAJOR PROJECT,40,0-0-80,SUDARSAN GHOSH,11,5
729,P,MST894,SOCIAL SECTOR ATTACHMENT,1,0-0-2,P. VIGNESWARA ILAVARASAN,115,48
730,P,MTP290,COMPUTING LABORATORY,2,0-0-4,V.V.K. SRINIVAS KUMAR,75,61
731,P,MTQ301,PROBABILITY THEORY,1,0-0-2,S.DHARMARAJA,10,14
732,P,MTQ302,Analysis and applications,1,0-0-2,KONIJETI SREENADH,10,6
733,P,MTQ303,Differential Equations,1,0-0-2,HARISH KUMAR,10,16
734,P,MTQ304,Dynamical Systems,1,0-0-2,ANIMA NAGAR,10,1
735,P,NCN100,NCC,0,0-0-0,BREJESH LALL,146,2
736,P,NEN100,PROFE. ETHICS & SOCIAL RESP.,2,0-0-0,SANGEETA KOHLI,90,2
737,P,NEN101,PROFE. ETHICS &SOCIAL RESP.-2,2,0-0-4,SANGEETA KOHLI,870,3
738,P,NLN101,LANGUAGE & WRITING SKILL-2,2,0-0-4,STUTI KHANNA,873,8
739,P,NPN100,NATIONAL SPORTS ORGANISATION,0,0-0-0,BISHWAJIT KUNDU,1494,0
740,P,NSN100,NSS,0,0-0-0,RAJESH PRASAD,1924,0
741,P,PHD652,PROJECT II,6,0-0-12,SANKALPA GHOSH,46,41
742,P,PHD802,MAJOR PROJECT PART-II,12,0-0-24,NEERAJ KHARE,25,14
743,P,PHD852,MAJOR PROJECT PART-II,12,0-0-24,JOBY JOSEPH,7,7
744,P,PHP562,LAB-II ELECTIVE (PE/OE),4,0-0-8,MUKESH CHANDER,48,42
745,P,PHP712,SOLID STATES MATERIALS LAB-II,4.5,0-0-9,RAJENDRA SINGH,15,0
746,P,PHP762,OPTICS LABORATORY-II,3,0-0-6,ALOKA SINHA,11,2
747,P,PHS731,INDEPENDENT STUDY,3,0-3-0,PRANABA KISHOR MUDULI,10,0
748,P,PTP720,POLYMER ENGINEERING LAB,1,0-0-2,BHABANI KUMAR SATAPATHY,20,19
749,P,PYD351,MINOR DESIGN PROJECT - I,1,0-0-2,SANTANU GHOSH,95,5
750,P,PYD352,MINOR DESIGN PROJECT - II,1,0-0-2,SANTANU GHOSH,95,0
751,P,PYD356,MINOR DESIGN PROJECT - VI,2,0-0-4,SANTANU GHOSH,95,2
752,P,PYD357,MINOR DESIGN PROJECT - VII,2,0-0-4,SANTANU GHOSH,95,0
753,P,PYP212,ENGG. PHYSICS LABORATORY II,3,0-0-6,G.B. REDDY,57,51
754,P,PYP222,ENGINEERING PHYSICS LAB. - IV,4,0-0-8,R.K. SONI,90,52
755,P,PYS300,INDEPENDENT STUDY,3,0-3-0,SANTANU GHOSH,95,0
756,P,RDD750,MINOR PROJECT,3,3-0-0,HARIPRASAD P.,25,36
757,P,SBC796,GRADUATE STUDENT SEMINAR-II,0.5,0-0-1,ASHOK KUMAR PATEL,30,9
758,P,SBD301,MINI PROJECT,3,0-0-6,MANIDIPA BANERJEE,10,0
759,P,SBS800,INDEPENDENT STUDY,3,0-3-0,MANIDIPA BANERJEE,10,2
760,P,SID880,MINOR PROJECT IN INFORMATION TECHNOLOGY,3,0-0-6,M. BALAKRISHNAN,30,2
761,P,SID890,MS RESEARCH PROJECT,40,0-0-80,M. BALAKRISHNAN,30,1
762,P,SIV889,SPL. MOD. IN HUMAN COMP. INTR.,1,1-0-0,M. BALAKRISHNAN,92,19
763,P,SIV895,SPECIAL MODULE ON INTELLIGENT INFO. PROCESSING,1,1-0-0,PREM KUMAR KALRA,30,18
764,P,SMD792,MINOR PROJECT,3,0-0-6,AMLENDU KUMAR DUBEY,30,16
765,P,SMD890,PROJECT,6,0-0-12,AMLENDU KUMAR DUBEY,206,98
766,P,TXD351,MINOR DESIGN PROJECT - I,1,0-0-2,DEEPTI GUPTA,120,48
767,P,TXD352,MINOR DESIGN PROJECT - II,1,0-0-2,DEEPTI GUPTA,120,10
768,P,TXD353,MINOR DESIGN PROJECT - III,1,0-0-2,DEEPTI GUPTA,120,5
769,P,TXD354,MINOR DESIGN PROJECT - IV,1,0-0-2,DEEPTI GUPTA,120,2
770,P,TXD355,MINOR DESIGN PROJECT - V,1,0-0-2,DEEPTI GUPTA,120,3
771,P,TXD357,MINOR DESIGN PROJECT - VII,2,0-0-4,DEEPTI GUPTA,90,0
772,P,TXD401,MAJOR PROJECT PART I,4,0-0-8,BHANU NANDAN,120,0
773,P,TXD402,MAJOR PROJECT PART II,8,0-0-16,BHANU NANDAN,120,11
774,P,TXD803,MAJOR PROJECT PART II,12,0-0-24,R.S. RENGASAMY,30,4
775,P,TXD804,MAJOR PROJECT PART II,12,0-0-24,MANJEET JASSAL,30,7
776,P,TXL714,ADVANCED MATERIALS CHARACTERIZATION TECHNIQUES,1,1-0-0,ASHWINI K. AGRAWAL,75,22
777,P,TXP725,MECHANICS OF SPINNING MACHINES LAB,1,0-0-2,R.S. RENGASAMY,75,21
778,P,TXQ302,Seminar Course 2,1,0-0-2,KUSHAL SEN,120,84
779,P,TXV701,PRO. CON. & EC. IN MA. FI. PR.,1,1-0-0,B.K.BEHERA,90,2
780,P,TXV702,MANAGEMENT OF TEXTILE BUSINESS,1,1-0-0,B.K.BEHERA,90,5
781,P,TXV706,SPECIAL MODULE IN FIBRE SCIENC,1,1-0-0,B.L. DEOPURA,75,4
782,P,TXV707,SPL. MODULE IN TEXT. CHE. PRO.,1,1-0-0,B.K.BEHERA,75,3
783,P,VED750,MINOR PROJECT,3,0-0-6,M.R. RAVI,15,12
,,,,,,,,
784,Q,CVQ301,CIVIL ENGINEERING SEMINAR,1,0-0-2,SHASHANK BISHNOI,150,131
785,Q,MSL740,QUANTITATIVE METHODS IN MGMT.,3,3-0-0,D.K.BANWET,91,47
786,Q,SML849,CURRENT AND EMERGING ISSUES IN MANUFACTURING MGMT,3,3-0-0,RAVI SHANKAR,65,58
787,Q,SML859,CURRENT AND EMERGING ISSUES IN INFORM. TECH. MANA.,3,3-0-0,ARPAN KUMAR KAR,65,10
788,Q,SML870,ADVANCED FINANCIAL MANAGEMENT,3,2-0-2,P.K.JAIN,65,18
789,Q,SML874,INDIAN FINANCIAL SYSTEM,3,3-0-0,SMITA KASHIRAMKA,65,23
,,,,,,,,
790,QM,CMP100,CHEMISTRY LABORATORY,2,0-0-4,PRAMIT KUMAR CHOWDHURY,206,1
