Serial No.,Course Slot,Course Code,Course Description,Course Credit,L-T-P,Course Coordinator,Max.Limit,Stu.Registered
118,B,MCL814,Convective Heat Transfer,3,3-0-0,B. PREMACHANDRAN,0,25
119,B,MCP100,ENGG. VISUALIZATION & COMM.,2,0-0-3,SUJEET KUMAR SINHA,453,19
120,B,MCP101,PRODUCT REALIZATION BY MANF.,2,0-0-4,DIGAVALLI RAVI KUMAR,441,5
121,B,MCP332,PRODUCTION ENGINEERING LAB- II,1,0-0-2,SUDARSAN GHOSH,0,42
122,B,MEL344,REFRIGERATION AND AIR-CONDITIONING,4,3-0-2,SANJEEV JAIN,90,17
123,B,MSL301,ORGANIZATION AND PEOPLE MANAGEMENT,3,3-0-0,SHUCHI SINHA,80,52
124,B,MTL390,STATISTICAL METHODS,4,03-01-00,S.DHARMARAJA,75,92
125,B,MTL510,MEASURE AND INTEGRATION,4,3-0-2,HARISH KUMAR,60,47
126,B,MTL882,Advanced applied analysis,3,3-0-0,KONIJETI SREENADH,30,5
127,B,PHL800,NUMERICAL & COMPUTATIONAL METHODS IN RESEARCH,3,3-0-0,ANURAG SHARMA,100,34
128,B,PTL702,POLYMER PROCESSING,3,3-0-0,A.K. GHOSH,50,20
129,B,PYL552,ELECTRODYNAMICS,4,03-01-00,SASWATA BHATTACHARYA,90,57
130,B,PYL760,BIOMEDICAL OPTICS & BIO-PHOTO.,3,3-0-0,DALIP SINGH MEHTA,90,17
131,B,RDL730,TECHNOLOGY ALTERNATIVES FOR RURAL DEVELOPMENT,3,3-0-0,VIJAYARAGHAVAN M. CHARIAR,92,142
132,B,SML873,SECURITY ANALYSIS & PROOF MANAGEMENT,3,2-0-2,SURENDRA SINGH YADAV,65,30
133,B,TXL231,FABRIC MANUFACTURE I,3,3-0-0,ABHIJIT MUJUMDAR,120,95
134,B,TXL743,PRINCIPLES OF COLOUR MEASUREMENT & COMMUNICATION,3,2-0-2,SAMRAT MUKHOPADHYAY,75,70
135,B,TXL766,DE. & MANUF. OF TEXT. STR. CO.,3,3-0-0,B.K.BEHERA,75,18
136,B,TXP231,FABRIC MANUFACTURE LAB. - I,1,0-0-2,ABHIJIT MUJUMDAR,120,91
,73,,,,,,5897,3249
137,B1,MSL729,Individual Behavior in Organizations,3,3-0-0,KANIKA TANDON BHAL,115,42
,1,,,,,,115,42
138,B2,MSL705,HRM SYSTEMS,3,3-0-0,KANIKA TANDON BHAL,65,52
,1,,,,,,65,52
139,BM,COL100,INTRO. TO COMPUTER SCIENCE,4,3-0-2,PREETI RANJAN PANDA,264,12
,1,,,,,,264,12
140,BP,COL100,INTRO. TO COMPUTER SCIENCE,4,3-0-2,PREM KUMAR KALRA,200,17
,1,,,,,,200,17
141,C,AML793,SHIP DYNAMICS,3,3-0-0,CDR (DR.) R. VIJAYAKUMAR,20,24
142,C,APL796,Advanced Solid Mechanics,3,3-0-0,AJEET KUMAR,90,45
143,C,BEL703,DOWNSTREAM PROCESSING IN BIOTECHNOLOGY,5,3-0-4,SUNIL NATH,80,24
144,C,CEL718,DESIGN OF STEEL STRUCTURES,3,02-01-00,DIPTI RANJAN SAHOO,60,18
145,C,CLL361,INSTRUMENTATION AND AUTOMATION,2.5,1-0-3,SHAIK ABDUL MUNAWAR,125,112
146,C,CML523,ORGANIC SYNTHESIS,3,3-0-0,N.G.RAMESH,60,51
147,C,CML729,MATERIAL CHARACTERIZATION,3,3-0-0,SAMEER SAPRA,60,18
148,C,COL380,INTRO. TO PARALLEL & DIS. PRO.,3,2-0-2,Retired Employee,120,97
149,C,CRL722,RF AND MICROWAVE SOLID STATE DEVICES,3,3-0-0,SAMARESH DAS,50,15
150,C,CVL100,ENVIRONMENTAL SCIENCE,2,2-0-0,ATUL KUMAR MITTAL,488,526
151,C,CVL244,CONSTRUCTION PRACTICES,2,2-0-0,KUMAR NEERAJ JHA,60,98
